nombre,pais,categoria,descripcion,actividades,precio_promedio,mejor_epoca,clima,duracion_sugerida,imagen_url,rating
Paracas National Reserve,Perú,Naturaleza,"Reserva ecológica con miradores, fauna marina y desierto costero.","Miradores, playas, aves marinas, caminatas",35,"Todo el año","Soleado y árido",4,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/reserve1.webp,4.8
Islas Ballestas,Perú,Aventura,"Tour en bote para ver lobos marinos, pingüinos y el Candelabro.","Paseo en bote, avistamiento de fauna",40,"Octubre - Abril","Marítimo",2,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/ballestas1.webp,4.9
Dune Buggy & Sandboard,Perú,Deportes,"Aventura extrema en las dunas de Huacachina.","Buggy, sandboard, deportes extremos",50,"Julio - Noviembre","Soleado",2,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/buggy1.webp,4.8
Full Day Paracas & Huacachina,Perú,FullDay,"Tour completo por Paracas e Ica con buggy, sandboard y viñedos.","Islas Ballestas, Huacachina, viñedos, buggy",90,"Todo el año","Variado",12,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/full.jpg,4.9
Nazca Lines Overflight,Perú,Cultural,"Sobrevuelo sobre las enigmáticas Líneas de Nazca.","Sobrevuelo, arqueología",110,"Julio - Diciembre","Soleado",1,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/nazca.jpg,4.7
Yacht Charter Paracas,Perú,Lujo,"Paseo exclusivo en yate por la bahía de Paracas.","Yate, snorkeling, relax",300,"Enero - Abril","Soleado",3,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/yate.jpg,5.0
Private Tour Paracas,Perú,Privado,"Tour personalizado por Paracas con guía privado.","Miradores, playas, guía privado",120,"Todo el año","Soleado",4,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/private.jpg,4.9
Special Services Paracas,Perú,Especial,"Servicios personalizados, fotógrafos, transporte VIP.","Fotografía, transporte privado",150,"Todo el año","Soleado",4,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/special.jpg,4.6
Chili River White Water Rafting,Perú,Aventura,"Rafting en rápidos clase III con guías expertos.","Rafting, kayak, aventura acuática",70,"Enero - Junio","Templado",3,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/rafting.jpg,4.7
Pantanos de Villa Half Day,Perú,Naturaleza,"Humedales de Lima con avistamiento de aves.","Aves, bote, naturaleza",60,"Agosto - Marzo","Húmedo templado",4,https://raw.githubusercontent.com/XeanN/SouthAmericansSecrets/main/assets/img/tours/villa.jpg,4.6
